,id,network_id,degree,definition
17757,17149,3,160.0,"{""vector"": [1, 1, 0, 1, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1], ""active_index"": 7}"
17966,17324,3,161.0,"{""vector"": [1, 1, 0, 1, 1, 1, 0, 1, 0, 1, 1, 0, 0, 0, 1, 1], ""active_index"": 1}"
17975,17441,3,162.0,"{""vector"": [1, 1, 0, 1, 1, 1, 0, 1, 0, 1, 1, 0, 0, 0, 1, 1], ""active_index"": 15}"
18257,17512,3,163.0,"{""vector"": [1, 1, 0, 1, 1, 1, 0, 1, 0, 1, 1, 0, 0, 0, 1, 0], ""active_index"": 6}"
18431,17629,3,164.0,"{""vector"": [1, 1, 0, 1, 1, 1, 0, 1, 0, 1, 1, 0, 0, 0, 1, 0], ""active_index"": 11}"
18485,17739,3,165.0,"{""vector"": [1, 1, 0, 1, 1, 1, 0, 1, 0, 1, 1, 1, 0, 0, 1, 0], ""active_index"": 5}"
18493,17775,3,166.0,"{""vector"": [1, 1, 0, 1, 1, 1, 0, 1, 0, 1, 1, 1, 0, 0, 1, 0], ""active_index"": 13}"
18698,17895,3,167.0,"{""vector"": [1, 1, 0, 1, 1, 1, 0, 1, 0, 1, 1, 1, 0, 1, 1, 0], ""active_index"": 12}"
18972,17971,3,168.0,"{""vector"": [1, 1, 0, 1, 1, 1, 0, 1, 0, 1, 1, 1, 0, 1, 1, 0], ""active_index"": 9}"
19005,18154,3,169.0,"{""vector"": [1, 1, 0, 1, 1, 1, 0, 1, 0, 1, 1, 1, 0, 1, 1, 0], ""active_index"": 0}"
19007,18227,3,170.0,"{""vector"": [1, 1, 0, 1, 1, 1, 0, 1, 0, 1, 1, 1, 0, 1, 1, 0], ""active_index"": 2}"
19305,18404,3,171.0,"{""vector"": [1, 1, 0, 1, 1, 1, 0, 1, 0, 1, 1, 1, 0, 1, 1, 0], ""active_index"": 4}"
19327,18506,3,172.0,"{""vector"": [1, 1, 0, 1, 1, 1, 0, 1, 0, 1, 1, 1, 0, 1, 1, 0], ""active_index"": 14}"
19456,18598,3,173.0,"{""vector"": [1, 1, 0, 1, 1, 1, 0, 1, 0, 1, 1, 1, 0, 1, 0, 0], ""active_index"": 10}"
19645,18639,3,174.0,"{""vector"": [1, 1, 0, 1, 1, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0], ""active_index"": 3}"
19647,18760,3,175.0,"{""vector"": [1, 1, 0, 1, 1, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0], ""active_index"": 8}"
19666,18880,3,176.0,"{""vector"": [1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 0, 1, 0, 0], ""active_index"": 7}"
